date,precipitation_mm
2023-06-26,5.65
2023-06-27,1.24
2023-06-28,0.0
2023-06-29,1.96
2023-06-30,0.7
2023-07-01,0.29
2023-07-02,0.17
2023-07-03,0.17
2023-07-04,1.23
2023-07-05,8.0
2023-07-06,13.06
2023-07-07,0.0
2023-07-08,1.18
2023-07-09,0.53
2023-07-10,0.06
2023-07-11,1.76
2023-07-12,2.05
2023-07-13,0.06
2023-07-14,4.4
2023-07-15,2.26
2023-07-16,2.21
2023-07-17,2.38
2023-07-18,0.53
2023-07-19,3.41
2023-07-20,9.2
2023-07-21,0.18
2023-07-22,0.24
2023-07-23,3.16
2023-07-24,0.48
2023-07-25,0.04
2023-07-26,9.05
2023-07-27,1.32
2023-07-28,4.25
2023-07-29,0.61
2023-07-30,0.0
2023-07-31,0.18
2023-08-01,0.13
2023-08-02,0.66
2023-08-03,0.81
2023-08-04,0.01
2023-08-05,0.03
2023-08-06,0.19
2023-08-07,0.2
2023-08-08,0.05
2023-08-09,2.37
2023-08-10,0.66
2023-08-11,5.98
2023-08-12,1.72
2023-08-13,0.22
2023-08-14,2.83
2023-08-15,1.18
2023-08-16,0.0
2023-08-17,26.47
2023-08-18,0.01
2023-08-19,0.07
2023-08-20,0.0
2023-08-21,0.04
2023-08-22,5.96
2023-08-23,6.92
2023-08-24,0.7
2023-08-25,0.09
2023-08-26,0.16
2023-08-27,0.01
2023-08-28,0.0
2023-08-29,11.24
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,0.94
2023-09-03,0.0
2023-09-04,0.0
2023-09-05,0.04
2023-09-06,35.98
2023-09-07,1.75
2023-09-08,0.0
2023-09-09,0.0
2023-09-10,0.18
2023-09-11,15.77
2023-09-12,3.8
2023-09-13,0.05
2023-09-14,0.01
2023-09-15,0.0
2023-09-16,0.38
2023-09-17,0.11
2023-09-18,0.05
2023-09-19,0.0
2023-09-20,0.11
2023-09-21,0.02
2023-09-22,3.16
2023-09-23,0.01
2023-09-24,0.01
2023-09-25,0.12
2023-09-26,0.56
2023-09-27,0.02
2023-09-28,0.0
2023-09-29,0.01
2023-09-30,2.52
2023-10-01,4.86
2023-10-02,0.02
2023-10-03,0.0
2023-10-04,1.73
2023-10-05,2.68
2023-10-06,2.83
2023-10-07,7.9
2023-10-08,0.55
2023-10-09,6.2
2023-10-10,3.52
2023-10-11,1.17
2023-10-12,0.03
2023-10-13,2.99
2023-10-14,1.07
2023-10-15,0.06
2023-10-16,0.01
2023-10-17,0.0
2023-10-18,1.01
2023-10-19,9.43
2023-10-20,3.89
2023-10-21,0.0
2023-10-22,0.36
2023-10-23,3.5
2023-10-24,6.16
2023-10-25,19.68
2023-10-26,17.57
2023-10-27,17.06
2023-10-28,0.71
2023-10-29,3.59
2023-10-30,1.28
2023-10-31,0.89
2023-11-01,0.06
2023-11-02,0.0
2023-11-03,0.06
2023-11-04,0.0
2023-11-05,2.18
2023-11-06,8.18
2023-11-07,0.21
2023-11-08,14.0
2023-11-09,0.18
2023-11-10,0.38
2023-11-11,0.06
2023-11-12,0.07
2023-11-13,0.07
2023-11-14,0.0
2023-11-15,0.0
2023-11-16,0.4
2023-11-17,1.94
2023-11-18,0.0
2023-11-19,0.0
2023-11-20,0.0
2023-11-21,8.89
2023-11-22,0.21
2023-11-23,0.03
2023-11-24,0.07
2023-11-25,0.03
2023-11-26,7.22
2023-11-27,3.93
2023-11-28,2.03
2023-11-29,1.14
2023-11-30,0.05
2023-12-01,0.13
2023-12-02,0.03
2023-12-03,5.3
2023-12-04,0.1
2023-12-05,0.13
2023-12-06,0.65
2023-12-07,0.04
2023-12-08,0.14
2023-12-09,6.13
2023-12-10,2.16
2023-12-11,0.66
2023-12-12,0.14
2023-12-13,0.0
2023-12-14,0.0
2023-12-15,0.79
2023-12-16,2.45
2023-12-17,2.16
2023-12-18,2.5
2023-12-19,0.01
2023-12-20,0.01
2023-12-21,0.03
2023-12-22,0.29
2023-12-23,0.03
2023-12-24,0.05
2023-12-25,0.15
2023-12-26,3.88
2023-12-27,8.76
2023-12-28,4.71
2023-12-29,0.24
2023-12-30,0.07
2023-12-31,0.52
2024-01-01,0.05
2024-01-02,0.44
2024-01-03,0.97
2024-01-04,0.12
2024-01-05,0.04
2024-01-06,2.48
2024-01-07,0.69
2024-01-08,0.07
2024-01-09,9.23
2024-01-10,1.91
2024-01-11,3.8
2024-01-12,8.41
2024-01-13,4.74
2024-01-14,6.43
2024-01-15,1.76
2024-01-16,1.75
2024-01-17,2.37
2024-01-18,0.65
2024-01-19,0.53
2024-01-20,0.69
2024-01-21,0.02
2024-01-22,0.17
2024-01-23,1.58
2024-01-24,0.25
2024-01-25,0.23
2024-01-26,2.59
2024-01-27,0.6
2024-01-28,0.61
2024-01-29,0.52
2024-01-30,0.73
2024-01-31,0.04
2024-02-01,0.12
2024-02-02,0.0
2024-02-03,0.01
2024-02-04,0.01
2024-02-05,0.03
2024-02-06,0.02
2024-02-07,0.0
2024-02-08,0.88
2024-02-09,0.24
2024-02-10,1.15
2024-02-11,0.1
2024-02-12,0.15
2024-02-13,0.13
2024-02-14,0.18
2024-02-15,13.6
2024-02-16,2.15
2024-02-17,3.05
2024-02-18,0.47
2024-02-19,0.01
2024-02-20,0.0
2024-02-21,0.27
2024-02-22,0.01
2024-02-23,0.0
2024-02-24,0.0
2024-02-25,0.08
2024-02-26,0.0
2024-02-27,0.89
2024-02-28,12.92
2024-02-29,0.29
2024-03-01,0.0
2024-03-02,0.0
2024-03-03,0.01
2024-03-04,8.8
2024-03-05,12.35
2024-03-06,0.01
2024-03-07,0.0
2024-03-08,11.49
2024-03-09,7.9
2024-03-10,0.44
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,2.03
2024-03-15,0.01
2024-03-16,1.1
2024-03-17,1.34
2024-03-18,0.85
2024-03-19,1.03
2024-03-20,1.33
2024-03-21,0.04
2024-03-22,2.7
2024-03-23,0.02
2024-03-24,1.13
2024-03-25,0.38
2024-03-26,7.77
2024-03-27,0.28
2024-03-28,0.0
2024-03-29,0.01
2024-03-30,2.17
2024-03-31,0.03
2024-04-01,0.01
2024-04-02,16.47
2024-04-03,3.48
2024-04-04,4.3
2024-04-05,0.2
2024-04-06,0.0
2024-04-07,0.13
2024-04-08,0.3
2024-04-09,0.27
2024-04-10,0.0
2024-04-11,7.41
2024-04-12,12.61
2024-04-13,0.53
2024-04-14,9.64
2024-04-15,0.0
2024-04-16,0.24
2024-04-17,12.11
2024-04-18,1.36
2024-04-19,0.57
2024-04-20,0.08
2024-04-21,0.0
2024-04-22,0.02
2024-04-23,3.52
2024-04-24,0.01
2024-04-25,0.0
2024-04-26,0.32
2024-04-27,7.94
2024-04-28,10.02
2024-04-29,18.0
2024-04-30,0.98
2024-05-01,2.56
2024-05-02,2.88
2024-05-03,7.13
2024-05-04,1.85
2024-05-05,1.66
2024-05-06,0.0
2024-05-07,12.08
2024-05-08,3.56
2024-05-09,0.22
2024-05-10,1.46
2024-05-11,9.27
2024-05-12,0.7
2024-05-13,1.79
2024-05-14,0.03
2024-05-15,0.0
2024-05-16,1.7
2024-05-17,0.2
2024-05-18,0.01
2024-05-19,0.11
2024-05-20,16.73
2024-05-21,1.58
2024-05-22,1.68
2024-05-23,0.01
2024-05-24,0.02
2024-05-25,3.77
2024-05-26,3.37
2024-05-27,24.35
2024-05-28,4.43
2024-05-29,0.04
2024-05-30,0.0
2024-05-31,0.0
2024-06-01,4.93
2024-06-02,1.35
2024-06-03,0.49
2024-06-04,5.96
2024-06-05,11.12
2024-06-06,2.97
2024-06-07,1.45
2024-06-08,2.42
2024-06-09,0.45
2024-06-10,0.0
2024-06-11,0.08
2024-06-12,0.01
2024-06-13,0.72
2024-06-14,0.0
2024-06-15,0.02
2024-06-16,2.27
2024-06-17,1.19
2024-06-18,0.07
2024-06-19,4.44
2024-06-20,8.99
2024-06-21,10.65
2024-06-22,35.15
2024-06-23,8.8
2024-06-24,0.49
2024-06-25,10.41
2024-06-26,0.07
2024-06-27,0.0
2024-06-28,7.01
2024-06-29,8.8
2024-06-30,0.03
2024-07-01,0.0
2024-07-02,11.86
2024-07-03,2.94
2024-07-04,0.09
2024-07-05,4.43
2024-07-06,1.29
2024-07-07,0.06
2024-07-08,3.93
2024-07-09,0.11
2024-07-10,3.96
2024-07-11,0.27
2024-07-12,0.01
2024-07-13,0.45
2024-07-14,3.38
2024-07-15,2.21
2024-07-16,5.99
2024-07-17,1.66
2024-07-18,0.02
2024-07-19,0.0
2024-07-20,0.12
2024-07-21,0.23
2024-07-22,0.4
2024-07-23,12.1
2024-07-24,0.55
2024-07-25,0.0
2024-07-26,0.0
2024-07-27,0.0
2024-07-28,0.04
2024-07-29,11.99
2024-07-30,7.1
2024-07-31,1.83
2024-08-01,0.03
2024-08-02,0.0
2024-08-03,0.0
2024-08-04,1.08
2024-08-05,3.76
2024-08-06,5.31
2024-08-07,0.0
2024-08-08,0.08
2024-08-09,2.1
2024-08-10,5.8
2024-08-11,1.52
2024-08-12,0.0
2024-08-13,0.0
2024-08-14,0.01
2024-08-15,3.07
2024-08-16,11.7
2024-08-17,25.29
2024-08-18,0.88
2024-08-19,0.04
2024-08-20,0.0
2024-08-21,0.0
2024-08-22,0.0
2024-08-23,0.06
2024-08-24,0.18
2024-08-25,0.0
2024-08-26,1.46
2024-08-27,2.52
2024-08-28,1.93
2024-08-29,0.05
2024-08-30,1.0
2024-08-31,0.01
2024-09-01,0.05
2024-09-02,0.0
2024-09-03,0.0
2024-09-04,0.0
2024-09-05,2.8
2024-09-06,0.93
2024-09-07,0.32
2024-09-08,0.04
2024-09-09,0.4
2024-09-10,0.1
2024-09-11,0.02
2024-09-12,0.05
2024-09-13,0.0
2024-09-14,0.0
2024-09-15,0.0
2024-09-16,0.0
2024-09-17,0.0
2024-09-18,0.0
2024-09-19,0.01
2024-09-20,0.99
2024-09-21,0.06
2024-09-22,4.25
2024-09-23,0.01
2024-09-24,3.87
2024-09-25,1.88
2024-09-26,0.0
2024-09-27,0.0
2024-09-28,0.0
2024-09-29,0.01
2024-09-30,0.0
2024-10-01,1.42
2024-10-02,0.0
2024-10-03,0.01
2024-10-04,0.19
2024-10-05,0.0
2024-10-06,0.54
2024-10-07,0.59
2024-10-08,0.05
2024-10-09,0.0
2024-10-10,0.0
2024-10-11,0.31
2024-10-12,0.04
2024-10-13,4.49
2024-10-14,0.03
2024-10-15,0.96
2024-10-16,0.01
2024-10-17,0.0
2024-10-18,0.0
2024-10-19,0.01
2024-10-20,0.03
2024-10-21,0.0
2024-10-22,0.09
2024-10-23,3.0
2024-10-24,0.0
2024-10-25,1.58
2024-10-26,0.01
2024-10-27,0.0
2024-10-28,0.04
2024-10-29,8.82
2024-10-30,11.34
2024-10-31,13.12
2024-11-01,0.55
2024-11-02,0.02
2024-11-03,5.34
2024-11-04,7.59
2024-11-05,18.85
2024-11-06,0.96
2024-11-07,0.01
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,4.73
2024-11-11,2.07
2024-11-12,0.0
2024-11-13,0.14
2024-11-14,10.27
2024-11-15,0.23
2024-11-16,0.01
2024-11-17,0.13
2024-11-18,0.13
2024-11-19,3.66
2024-11-20,10.99
2024-11-21,3.46
2024-11-22,1.29
2024-11-23,1.16
2024-11-24,0.12
2024-11-25,7.98
2024-11-26,1.94
2024-11-27,0.3
2024-11-28,3.15
2024-11-29,8.9
2024-11-30,4.24
2024-12-01,5.86
2024-12-02,4.31
2024-12-03,1.8
2024-12-04,9.88
2024-12-05,1.71
2024-12-06,0.8
2024-12-07,3.6
2024-12-08,0.91
2024-12-09,2.8
2024-12-10,1.74
2024-12-11,5.48
2024-12-12,7.1
2024-12-13,0.6
2024-12-14,0.12
2024-12-15,0.54
2024-12-16,2.04
2024-12-17,0.59
2024-12-18,0.6
2024-12-19,1.64
2024-12-20,2.08
2024-12-21,0.74
2024-12-22,0.07
2024-12-23,8.37
2024-12-24,0.07
2024-12-25,0.01
2024-12-26,0.84
2024-12-27,5.77
2024-12-28,2.11
2024-12-29,8.24
2024-12-30,0.93
2024-12-31,0.22
2025-01-01,3.0
